,Multiview-LMedS,Homography-LMedS,Libmv-8pt,Almeida-RANSAC,Almeida,Homography-RANSAC,Multiview-RANSAC,Libmv-7pt
1,219.63148753141255,8.627461924369747,41.58842623189276,29.130436055600004,17.804181968600002,3.2350008114045616,133.25559757262906,44.206707036894755
1dyn,255.25352781512603,8.74118644677871,54.863293844978,29.7356130084,19.07431159236012,3.4441555538615445,172.00424931212487,58.567076891156454
2,225.0024456482593,8.980373029691876,135.49089439583665,27.7172468004,16.556586095519997,6.889848235134053,188.1168137527011,181.86794809443776
2dyn,242.67972679471788,9.335411822769109,268.18975063130506,27.968350159600003,17.87115559204002,9.741307828851541,241.28599279511803,418.6771402105684
3,225.46357183673467,8.853091411364547,112.83012004751802,27.360954597198404,15.884839158999998,6.145644313645458,186.81615359183672,144.07669945839007
3dyn,252.31628818727495,9.327113430092037,273.75469730012003,27.5713336652,17.60959128164,10.168442031212484,265.0214224393757,436.9722759493797
4,225.7191735094038,8.839775028971587,108.77002358086472,26.9238837284,15.372192578679998,8.358151666386554,164.12819878631453,164.0054550428514
4dyn,248.01764290116043,9.895805616046419,377.88146152320934,26.588591975999996,17.6265546462,37.23109617843137,274.90695179071633,685.9939601792233
