,Libmv-8pt,Almeida-RANSAC,Homography-RANSAC,Homography-LMedS,Libmv-7pt,Multiview-LMedS,Almeida,Multiview-RANSAC
1,0.07889391395916062,0.017731197345056838,0.06421876189475592,0.034850657501419455,0.059079340269534056,0.06710957218362204,0.02395482316300505,0.071469901910056
1dyn,0.10293431806606554,0.017600430918218304,0.06243038688295936,0.034439620049597004,0.0576908060949003,0.06369029776733996,0.03810524838334491,0.06880295497434018
2,0.21683226967738697,0.039536486180707785,0.16976067435123554,0.18017816141635343,0.15559848260464315,0.1419897255160276,0.049077480694415566,0.1337172003132027
2dyn,0.25490513430955297,0.030424262758514543,0.17777588227603158,0.1862615548546161,0.17073313251782457,0.12916894227015394,0.061571228076168265,0.12844189589541463
3,0.1979599808015358,0.03138949299481671,0.1533944531287062,0.16711808372034648,0.1370848934824464,0.12307336057338354,0.049455495137637834,0.12219745322321612
3dyn,0.23827708709154982,0.026604878045948546,0.1622949822133204,0.17569399797538418,0.13814075270740012,0.1184493771048919,0.06456520064349193,0.11390365977293672
4,0.20700367187906618,0.06139282437319821,0.2053899539907972,0.19960321831763017,0.2142464716905528,0.15054212843849463,0.0605086279414475,0.14906757467773712
4dyn,0.310975901117228,0.06048864142059593,0.2816160431264901,0.27093126532886397,0.26703956740318574,0.17616375318814012,0.07638379101444605,0.16685970484085902
