,Multiview-LMedS,Homography-LMedS,Libmv-8pt,Almeida-RANSAC,Almeida,Homography-RANSAC,Multiview-RANSAC,Libmv-7pt
av,236.7604830280112,9.075027338760503,171.67108344446558,27.8745512488498,17.22492661425502,10.651705827365944,203.19192250510207,266.79590785786274
farneback,351.9572512032313,9.934880386919767,313.1861842534644,31.74477353899985,14.686759573426997,5.565711319610344,287.55701623884556,318.3224721852018
rlof,623.9451934223689,13.946902659488796,1092.7181506084783,29.89621312679995,24.723730667329974,16.027591354721892,680.703519704932,1565.1409138211784
