,Libmv-8pt,Almeida-RANSAC,Homography-RANSAC,Homography-LMedS,Libmv-7pt,Multiview-LMedS,Almeida,Multiview-RANSAC
1,1035.9661207667066,32.257606274800004,7.632387961104443,15.392149427611045,1137.4397647659064,725.3427343297319,25.784824617359998,782.6275663945579
1dyn,1200.8683303257303,31.234536482800003,7.869137024849939,14.77005846362545,1410.3711194365746,708.4686154421769,26.21490535868,788.6845335174069
2,1100.0495394665866,30.551573051600002,13.117884362184874,14.755728062505002,1608.174731209284,715.0689842216887,24.65144562012,756.4060652841137
2dyn,1333.308308822729,29.911724373200002,18.74377749419768,14.227491700360144,2119.324096497399,626.1514423929572,25.65054419272,711.4930415406162
3,795.7140665972389,29.561349768799996,9.410236487555022,13.310752445178071,1083.829974110044,580.7394263745498,23.46568357843988,593.8780254461784
3dyn,1092.551094991997,29.0844846004016,13.63413669387755,13.02820644997999,1649.2004510116046,542.0957620328131,25.1139772634,612.0655668787515
4,902.5725706470588,29.006731531197996,12.39816898407363,12.99335858807523,1283.7029201468588,565.8507531732694,22.61731254495992,594.8225288259304
4dyn,1280.7151732497798,27.561698931599995,45.415001829931974,13.09747613857543,2229.0842533917566,527.8438294117647,24.291152162960003,605.6508297519008
