,Almeida-RANSAC,Homography-RANSAC,Homography-LMedS,Almeida
1,106.8131222416004,1011.7742886509209,1264.498808178543,773.5323773219999
1dyn,107.287743686396,1021.4702441072859,1320.300239939952,808.7431279443999
2,106.855110672004,1014.2780288510809,1382.7022132065651,754.9089726448
2dyn,104.129402767996,1011.501312646117,1382.732002177742,800.6717934952001
3,99.2185887512,734.5716625500401,894.3522428462771,617.9444236347999
3dyn,96.7212557547976,738.7651023779024,928.5699994315452,663.6489854535998
4,86.56678366319919,453.91523035228187,541.2581176100881,457.28631328400013
4dyn,92.56967455440201,1056.807854567654,903.0882168094475,621.4593443444
