,Almeida-RANSAC,Homography-RANSAC,Homography-LMedS,Almeida
1,0.015871029668126705,0.049559594965503474,0.026636944930491374,0.01577344082847091
1dyn,0.015984472953501132,0.05691672776907613,0.029434723861172258,0.047441978887803146
2,0.031745818434276006,0.17420532616359602,0.17926927182281444,0.04451053060800425
2dyn,0.028985406660327524,0.18162778681199132,0.18566557391896168,0.08969813244053951
3,0.026014077118188993,0.14309950642444527,0.14439526601084055,0.051294515568157374
3dyn,0.023878275157072155,0.1670051833037465,0.1798152626228694,0.09651512587404294
4,0.04721281808797355,0.22065456564241015,0.22089947515598768,0.0551185639545103
4dyn,0.05134619715024013,0.3502348396990148,0.32713599784306346,0.09870481716298343
