,Libmv-8pt,Almeida-RANSAC,Homography-RANSAC,Homography-LMedS,Libmv-7pt,Multiview-LMedS,Almeida,Multiview-RANSAC
1,661.2897458071657,34.5114328943984,7.792522546818728,16.342146399959983,665.7990057134855,580.7237250740295,27.17422435924,448.20831118447376
1dyn,665.7028663233293,33.9696395888,7.742800246778713,15.598433552020806,669.4310160996398,711.6809363505402,27.300879892920005,590.2911509723889
2,258.769939907443,33.003638436402,5.837611531892757,10.186074384433773,261.69215046156927,329.9539519503802,14.646093595200009,255.22928075710283
2dyn,305.557967537415,32.2712028432,7.078151128371348,10.34047968907563,316.328278592474,376.5232813429372,16.195150492920003,332.7071353197279
3,140.76713678791515,30.51307606,3.5340049766386556,7.638955059343737,142.51230488435374,223.51880579351743,9.008004063036081,169.98775029091635
3dyn,289.97072873221293,31.08023626,5.732839648459384,10.048761795718287,296.2155475938375,385.23137614525814,13.117373048960001,323.15485114445784
4,28.379221555902358,29.446630150399997,1.9483233252661067,3.8430001949979986,29.127190659983995,78.76453910004003,3.1668426320798804,37.571444823929575
4dyn,155.0518673763316,29.1623320787984,4.859437152657063,5.4811920198079225,165.4742834762705,129.26139386914764,6.88550850306,143.3062054177671
