,Libmv-8pt,Almeida-RANSAC,Homography-RANSAC,Homography-LMedS,Libmv-7pt,Multiview-LMedS,Almeida,Multiview-RANSAC
1,0.0478187082943796,0.017061363279160736,0.031671789846114955,0.028453703662062825,0.03319536535193874,0.0801497345973824,0.020455757328500093,0.07310635495589758
1dyn,0.05867623052995669,0.01727541737161953,0.03345424074509098,0.030712518222356655,0.036026298520636366,0.07585653887345399,0.03730447626780146,0.07368152800921869
2,0.19996923455865395,0.019723285764349147,0.08169590117737327,0.06948556713318181,0.08854343641927861,0.08100962490270928,0.03142081099499902,0.08435859713794651
2dyn,0.1807698590821368,0.01998619868527627,0.10762462910521553,0.10372914634491456,0.09368666237113364,0.07845061672209545,0.0523356486704409,0.08291109829110484
3,0.20277898709260345,0.12782704922788127,0.16632373102842454,0.15281358898963618,0.1531222333022208,0.13754775471099556,0.1184158092306398,0.1341106088363986
3dyn,0.1831202409690733,0.12792354169666853,0.16023917101898574,0.15184322159653396,0.15316965454393122,0.13640376932722903,0.11219234856449883,0.13442295083745615
4,0.18655895168988113,0.13346376278025016,0.15454843735354823,0.14624104611283625,0.15403184746786583,0.1391346825758707,0.12166373297145812,0.13930663926271203
4dyn,0.20558338964685985,0.13325893118421292,0.15555821708645132,0.19583693690308335,0.14922580156277937,0.13908784929094375,0.11130282644930069,0.13946465579839282
