x,y,u,v
0.15143725,0.27389973,0.013412237,0.03837776
0.13004366,0.34559768,0.010595292,0.034456342
0.105873466,0.42660093,0.006787777,0.031775683
0.078348786,0.5188467,0.0016143024,0.03106767
0.046719134,0.6248499,-0.0054795444,0.033469915
0.009992182,0.7479363,-0.015335798,0.040792406
-0.033172548,0.8925977,-0.029277742,0.05599934
-0.08463007,1.0650511,-0.04946983,0.08412671
-0.14702368,1.2741566,-0.07963413,0.13413537
0.19688728,0.27200583,0.011598051,0.038045198
0.17814222,0.3440543,0.009134889,0.034086585
0.15694728,0.4255184,0.0057964325,0.03138727
0.1327892,0.5183727,0.0012481213,0.030696392
0.104999065,0.6251859,-0.0050056577,0.033182204
0.07269192,0.7493613,-0.013720721,0.040709853
0.034668803,0.8955064,-0.026088715,0.056346774
-0.010734677,1.0700183,-0.044068813,0.08532965
-0.06589782,1.2820427,-0.07104957,0.13703132
0.24289843,0.2700886,0.009797126,0.037706614
0.22687104,0.34249073,0.0077028275,0.033710003
0.20873448,0.4244207,0.004854977,0.030991584
0.18804309,0.51789176,0.000962764,0.03031826
0.16421634,0.6255273,-0.0044060647,0.032889903
0.13648266,0.75081086,-0.011912435,0.040629327
0.103795856,0.89847064,-0.022603393,0.056711793
0.06469852,1.075089,-0.038208842,0.08658457
0.017099828,1.2901108,-0.06173882,0.14005744
0.28948092,0.26814744,0.008010447,0.03736204
0.27624267,0.3409065,0.0063007474,0.033326447
0.26124996,0.42330757,0.003965825,0.030588359
0.24412942,0.5174036,0.0007620752,0.029932976
0.22439349,0.6258742,-0.00367409,0.03259307
0.20139322,0.75228596,-0.00990057,0.040550947
0.17424563,0.9014914,-0.018805236,0.057094812
0.14171785,1.0802662,-0.03186226,0.0878942
0.102035165,1.2983673,-0.0516527,0.14322126
0.33664542,0.2661823,0.006238997,0.037011176
0.3262696,0.33930123,0.004930198,0.0329358
0.3145091,0.42217875,0.0031317472,0.030177474
0.30106682,0.516908,0.0006503463,0.02954048
0.28555417,0.6262269,-0.0028031468,0.032291412
0.26745296,0.7537874,-0.007674694,0.04047489
0.24605647,0.9045707,-0.01467669,0.057497144
0.22037455,1.0855536,-0.024999022,0.089261174
0.18897632,1.3068192,-0.04073882,0.14653063
0.384403,0.26419222,0.004483819,0.036653996
0.37696534,0.3376746,0.003592968,0.03253773
0.36852795,0.42103374,0.0023553967,0.029758662
0.3588748,0.51640475,0.00063195825,0.029140472
0.34772268,0.62658525,-0.0017863214,0.031984866
0.33469307,0.7553154,-0.005223334,0.04040146
0.31926817,0.9077099,-0.010199189,0.05791968
0.30072066,1.0909545,-0.017587632,0.090688944
0.27799574,1.3154724,-0.028940111,0.14999413
0.43276483,0.262177,0.0027460158,0.03629023
0.42834315,0.33602595,0.0022908747,0.03213215
0.42332292,0.4198723,0.0016397536,0.029331744
0.4175736,0.51589376,0.00071156025,0.028732777
0.4109242,0.62694967,-0.0006161928,0.03167343
0.40314525,0.756871,-0.002534628,0.04033065
0.39392212,0.91091084,-0.0053527653,0.05836326
0.38281173,1.0964727,-0.009593964,0.09218037
0.36916852,1.324335,-0.016195536,0.15362072
0.4817424,0.2601361,0.0010267198,0.035919756
0.4804169,0.33435506,0.0010257959,0.03171885
0.4789106,0.41869408,0.0009878278,0.028896451
0.47718394,0.5153749,0.00089395046,0.028317153
0.4751846,0.6273202,0.0007149577,0.03135681
0.4728425,0.75845486,0.00040403008,0.04026276
0.4700614,0.91417575,-0.00011655688,0.05882919
0.4667049,1.102112,-0.0009816885,0.09373915
0.46257383,1.333415,-0.0024389327,0.1574204
0.5313477,0.2580691,-0.00067287683,0.03554243
0.5332008,0.33266133,-0.0002002716,0.031297624
0.5353086,0.4174987,0.00040274858,0.028452575
0.5377271,0.5148479,0.0011842251,0.027893364
0.5405307,0.6276969,0.0022153854,0.031035006
0.5438193,0.76006794,0.0036060214,0.04019797
0.54773074,0.9175061,0.005531907,0.059318483
0.55246025,1.1078768,0.008288085,0.095368624
0.55829465,1.3427198,0.012400985,0.16140342
0.5815928,0.25597543,-0.0023515224,0.035158068
0.58670974,0.3309443,-0.0013853312,0.030868202
0.59253466,0.41628578,-0.00011205673,0.027999878
0.5992253,0.51431257,0.0015877485,0.02746123
0.60699046,0.6280801,0.0038936734,0.030707777
0.6161112,0.76171076,0.007085502,0.040136576
0.6269767,0.92090404,0.011616349,0.059832573
0.64014053,1.1137706,0.018257022,0.09707308
0.6564182,1.3522581,0.028401375,0.16558099
0.63249016,0.2538546,-0.0040079355,0.034766436
0.6409584,0.32920358,-0.0025271773,0.030430406
0.65060705,0.4150549,-0.0005531311,0.027538091
0.6617012,0.51376873,0.002110064,0.027020454
0.67459226,0.6284698,0.0057588816,0.030375123
0.68975496,0.76338434,0.010857344,0.0400787
0.70784783,0.9243717,0.018162131,0.06037259
0.72981143,1.1197982,0.028969765,0.09885621
0.7570362,1.3620391,0.045645595,0.1699655
0.68405247,0.25170606,-0.005640626,0.034367353
0.6959624,0.32743862,-0.0036235452,0.029983997
0.70954484,0.41380563,-0.00091689825,0.027066946
0.7251785,0.51321614,0.002757132,0.026570737
0.74336606,0.6288663,0.007820547,0.030036807
0.7647889,0.76508963,0.01493746,0.040024757
0.7903947,0.92791116,0.025196135,0.060940027
0.8215411,1.1259646,0.040474296,0.10072315
0.86024475,1.372072,0.06422418,0.17456985
0.7362931,0.24952912,-0.0072482824,0.0339607
0.7517377,0.3256489,-0.00467211,0.029528737
0.76936746,0.41253763,-0.0011993647,0.026586205
0.7896812,0.51265466,0.0035351515,0.02611196
0.81334233,0.6292698,0.010088921,0.029692769
0.8412528,0.7668272,0.019342542,0.039974928
0.87466985,0.9315249,0.03274727,0.061536193
0.91540176,1.1322738,0.052821934,0.10267794
0.9661454,1.3823668,0.08423507,0.17940831
0.7892254,0.24732351,-0.008829415,0.03354615
0.8083005,0.32383394,-0.005670309,0.029064417
0.83009505,0.41125047,-0.001396656,0.02609554
0.8552344,0.51208407,0.004450679,0.025643706
0.8845532,0.6296803,0.0125745535,0.02934277
0.91918766,0.7685983,0.02409041,0.03992951
0.96072817,0.93521506,0.04084611,0.062162817
1.0114682,1.1387315,0.06606817,0.104726195
1.0748446,1.3929329,0.105784774,0.18449593
0.842863,0.24508846,-0.010382414,0.033123612
0.8656677,0.32199317,-0.0066156387,0.02859068
0.8917481,0.4099437,-0.0015044212,0.025594682
0.9218643,0.51150405,0.00551039,0.025165737
0.9570316,0.6300982,0.015288591,0.028986692
0.9986369,0.77040386,0.029199898,0.03988886
1.0486269,0.938984,0.049525023,0.06282133
1.1098193,1.1453428,0.08027232,0.106873155
1.1864555,1.4037826,0.12898874,0.18984926
0.89722025,0.24282348,-0.011905611,0.03269285
0.9238567,0.32012603,-0.0075052977,0.028107345
0.9543482,0.40861687,-0.0015183687,0.025083333
0.9895973,0.51091444,0.006721735,0.024677813
1.0308114,0.6305237,0.018243074,0.028624415
1.0796448,0.77224493,0.034691095,0.039853275
1.1384252,0.9428343,0.058819413,0.063513815
1.2105374,1.1521132,0.095498204,0.10912454
1.3010957,1.4149265,0.15397286,0.1954863
