x,y,u,v
0.03125003,0.055555582,0.06537157,0.10425943
0.03125003,0.16666669,0.053410888,0.08190176
0.03125003,0.2777778,0.04073593,0.06484407
0.03125003,0.3888889,0.027280807,0.053575814
0.03125003,0.5,0.012971312,0.048648357
0.03125003,0.6111111,-0.002276957,0.050685704
0.03125003,0.7222222,-0.018559247,0.060396254
0.03125003,0.8333333,-0.035984486,0.07858795
0.03125003,0.9444444,-0.054677337,0.10618627
0.09375,0.055555582,0.056015402,0.10341486
0.09375,0.16666669,0.045559734,0.08133784
0.09375,0.2777778,0.034477353,0.064596325
0.09375,0.3888889,0.022710443,0.05368486
0.09375,0.5,0.010193318,0.049160898
0.09375,0.6111111,-0.0031479597,0.051655352
0.09375,0.7222222,-0.017397642,0.061885
0.09375,0.8333333,-0.032651782,0.080667734
0.09375,0.9444444,-0.04902035,0.10894084
0.15625,0.055555582,0.04701549,0.10256469
0.15625,0.16666669,0.03808549,0.080770016
0.15625,0.2777778,0.028618425,0.06434679
0.15625,0.3888889,0.018564373,0.053794682
0.15625,0.5,0.007866979,0.049677312
0.15625,0.6111111,-0.0035375357,0.05263251
0.15625,0.7222222,-0.015721738,0.063385785
0.15625,0.8333333,-0.02876839,0.08276492
0.15625,0.9444444,-0.042772382,0.11171937
0.21875,0.055555582,0.038375497,0.1017088
0.21875,0.16666669,0.030992359,0.08019823
0.21875,0.2777778,0.023163557,0.06409544
0.21875,0.3888889,0.014847577,0.053905368
0.21875,0.5,0.005997449,0.0501976
0.21875,0.6111111,-0.0034399927,0.053617418
0.21875,0.7222222,-0.013525218,0.06489873
0.21875,0.8333333,-0.024327368,0.0848797
0.21875,0.9444444,-0.035925567,0.1145221
0.28125,0.055555582,0.030099094,0.100847185
0.28125,0.16666669,0.024284124,0.07962251
0.28125,0.2777778,0.01811704,0.063842356
0.28125,0.3888889,0.011564732,0.05401683
0.28125,0.5,0.0045899153,0.050721884
0.28125,0.6111111,-0.0028495789,0.054610074
0.28125,0.7222222,-0.010801792,0.06642401
0.28125,0.8333333,-0.01932165,0.08701235
0.28125,0.9444444,-0.028472155,0.117349386
0.34375,0.055555582,0.022189826,0.09997964
0.34375,0.16666669,0.01796496,0.07904276
0.34375,0.2777778,0.013483286,0.06358743
0.34375,0.3888889,0.008720577,0.054129124
0.34375,0.5,0.0036496818,0.0512501
0.34375,0.6111111,-0.0017604232,0.055610478
0.34375,0.7222222,-0.007544905,0.06796181
0.34375,0.8333333,-0.013744056,0.089163065
0.34375,0.9444444,-0.0204041,0.12020135
0.40625,0.055555582,0.014651567,0.09910625
0.40625,0.16666669,0.012038827,0.078458965
0.40625,0.2777778,0.009266704,0.06333065
0.40625,0.3888889,0.006320119,0.054242253
0.40625,0.5,0.0031821132,0.05178249
0.40625,0.6111111,-0.00016659498,0.05661893
0.40625,0.7222222,-0.0037480593,0.06951213
0.40625,0.8333333,-0.007587284,0.09133202
0.40625,0.9444444,-0.011713237,0.123078585
0.46875,0.055555582,0.007488042,0.098226875
0.46875,0.16666669,0.0065099,0.077871084
0.46875,0.2777778,0.0054718554,0.063071996
0.46875,0.3888889,0.0043682754,0.054356217
0.46875,0.5,0.003192693,0.05231887
0.46875,0.6111111,0.0019378662,0.057635367
0.46875,0.7222222,0.0005954802,0.07107532
0.46875,0.8333333,-0.00084394217,0.09351963
0.46875,0.9444444,-0.0023913383,0.12598133
0.53125,0.055555582,0.0007030964,0.09734148
0.53125,0.16666669,0.0013823509,0.07727903
0.53125,0.2777778,0.0021033883,0.062811494
0.53125,0.3888889,0.0028700829,0.054471076
0.53125,0.5,0.0036869645,0.052859485
0.53125,0.6111111,0.0045591593,0.05865997
0.53125,0.7222222,0.0054925084,0.072651386
0.53125,0.8333333,0.0064935684,0.09572595
0.53125,0.9444444,0.0075700283,0.12891006
0.59375,0.055555582,-0.005699277,0.09645006
0.59375,0.16666669,-0.0033394694,0.076682776
0.59375,0.2777778,-0.0008341074,0.062549084
0.59375,0.3888889,0.0018306375,0.05458677
0.59375,0.5,0.00467062,0.05340427
0.59375,0.6111111,0.0077035427,0.05969274
0.59375,0.7222222,0.01094985,0.074240565
0.59375,0.8333333,0.0144328475,0.09795123
0.59375,0.9444444,0.018179476,0.13186479
0.65625,0.055555582,-0.011715233,0.095552444
0.65625,0.16666669,-0.007651329,0.07608229
0.65625,0.2777778,-0.0033358932,0.062284768
0.65625,0.3888889,0.0012552142,0.054703325
0.65625,0.5,0.006149292,0.05395329
0.65625,0.6111111,0.011377275,0.060733914
0.65625,0.7222222,0.016974568,0.075843096
0.65625,0.8333333,0.022981882,0.100195825
0.65625,0.9444444,0.029445767,0.13484609
0.71875,0.055555582,-0.01734072,0.09464866
0.71875,0.16666669,-0.011548877,0.0754776
0.71875,0.2777778,-0.005397141,0.062018484
0.71875,0.3888889,0.0011489987,0.054820776
0.71875,0.5,0.008128822,0.05450666
0.71875,0.6111111,0.015586793,0.061783493
0.71875,0.7222222,0.023573816,0.07745904
0.71875,0.8333333,0.03214836,0.10245991
0.71875,0.9444444,0.041377664,0.13785434
0.78125,0.055555582,-0.022571683,0.093738586
0.78125,0.16666669,-0.015027523,0.07486853
0.78125,0.2777778,-0.0070129633,0.061750233
0.78125,0.3888889,0.001517415,0.05493912
0.78125,0.5,0.01061511,0.05506432
0.78125,0.6111111,0.020338655,0.062841535
0.78125,0.7222222,0.030754924,0.07908857
0.78125,0.8333333,0.04194063,0.10474378
0.78125,0.9444444,0.053984404,0.14088988
0.84375,0.055555582,-0.02740395,0.092822164
0.84375,0.16666669,-0.018082976,0.07425511
