x,y,u,v
0.14374664,0.25448078,0.0076906085,0.019418955
0.12380287,0.3284945,0.006240785,0.017103195
0.10152024,0.41118786,0.004353225,0.015413076
0.07646176,0.5041829,0.0018870234,0.0146638155
0.048074394,0.6095323,-0.0013552606,0.015317619
0.015647352,0.7298733,-0.0056551695,0.018063009
-0.021747887,0.86865115,-0.011424661,0.023946524
-0.065347314,1.030454,-0.019282758,0.03459704
-0.11683464,1.2215304,-0.030189037,0.052626133
0.19025546,0.25276724,0.0066318214,0.019238591
0.17278096,0.32714084,0.005361259,0.016913474
0.15324369,0.41029316,0.0037035942,0.015225232
0.13125592,0.5038759,0.0015332699,0.014496803
0.1063253,0.60998315,-0.0013262331,0.015202761
0.07781896,0.7313093,-0.0051270425,0.018051982
0.044908106,0.8713815,-0.010239303,0.02412486
0.0064862072,1.0349088,-0.017220885,0.03510952
-0.03895682,1.2283198,-0.026941001,0.053722978
0.2373097,0.2510336,0.00558874,0.019055009
0.22236544,0.32577044,0.0045056045,0.016720295
0.20564568,0.40938666,0.003088802,0.01503405
0.18681395,0.5035647,0.0012291372,0.014327049
0.16544336,0.6104407,-0.0012270212,0.015086651
0.14098293,0.7327681,-0.00450027,0.018042743
0.112710685,0.8741592,-0.008914828,0.024311423
0.07966009,1.0394466,-0.0149615705,0.035642385
0.04050806,1.2352476,-0.023408234,0.054863214
0.2849188,0.24927944,0.0045621097,0.018868
0.2725678,0.3243829,0.0036748648,0.0165236
0.2587396,0.4084682,0.0025103688,0.014839381
0.24315241,0.50324917,0.0009770095,0.014154434
0.22544798,0.61090505,-0.0010544956,0.01496917
0.2051633,0.7342505,-0.0037700832,0.018035471
0.18168998,0.87698495,-0.007444352,0.02450645
0.154212,1.04407,-0.012494147,0.03619623
0.12160942,1.2423178,-0.019574255,0.056049466
0.3330928,0.24750474,0.0035526156,0.018677562
0.3233994,0.32297802,0.002870202,0.016323209
0.3125391,0.40753758,0.001969993,0.014641166
0.30028763,0.50292915,0.0007791817,0.013978839
0.2863593,0.6113765,-0.00080513954,0.014850378
0.27038458,0.73575705,-0.0029316247,0.018030345
0.25187686,0.8798603,-0.0058203936,0.024710417
0.2301817,1.0487813,-0.00980714,0.03677237
0.20439795,1.2495358,-0.015421629,0.0572834
0.38184166,0.24570861,0.0025613308,0.018483609
0.3748724,0.3215555,0.0020929575,0.016119093
0.36705852,0.40659446,0.0014694333,0.014439285
0.35823655,0.50260454,0.00063824654,0.013800204
