x,y,u,v
0.0966216,0.15981501,0.032095194,0.060997993
0.08466092,0.24856845,0.026725978,0.050848275
0.07198596,0.34262186,0.020402312,0.04296723
0.058530837,0.4424647,0.01293695,0.038014054
0.04422134,0.54864836,0.004096985,0.036830485
0.028973073,0.6617968,-0.006409645,0.04049945
0.012690783,0.78261846,-0.01895374,0.050426424
-0.0047344565,0.91192126,-0.03401059,0.06845355
-0.023427308,1.0506307,-0.052197874,0.09702301
0.1497654,0.15897045,0.027557015,0.060447842
0.13930973,0.24800453,0.022835046,0.050372124
0.12822735,0.34237412,0.017269969,0.042606264
0.11646044,0.44257376,0.010695726,0.037822664
0.10394332,0.5491609,0.0029051006,0.03688103
0.09060204,0.66276646,-0.006361693,0.040888667
0.07635236,0.7841072,-0.017434955,0.051284313
0.061098218,0.91400105,-0.03073898,0.06995684
0.04472965,1.0533853,-0.046825707,0.09941375
0.20326549,0.15812027,0.023160636,0.05988902
0.19433549,0.2474367,0.019111216,0.04988879
0.18486843,0.34212458,0.014335066,0.042240202
0.17481437,0.44268358,0.008687973,0.037629515
0.16411698,0.5496773,0.0019906163,0.036934674
0.15271246,0.6637436,-0.0059832633,0.041288137
0.14052826,0.785608,-0.015520662,0.052163124
0.12748161,0.91609824,-0.026991308,0.07149607
0.11347762,1.0561638,-0.040877044,0.10186243
0.2571255,0.15726438,0.018909931,0.059321374
0.24974236,0.24686491,0.0155593455,0.049398005
0.24191356,0.34187323,0.011603296,0.041868985
0.23359758,0.44279426,0.0069209933,0.03743455
0.22474745,0.5501976,0.0013618767,0.036991596
0.21531,0.6647285,-0.005263835,0.041698217
0.20522478,0.78712094,-0.013197839,0.053063154
0.19442263,0.918213,-0.02275142,0.073072076
0.18282443,1.0589665,-0.034331292,0.104370475
0.3113491,0.15640277,0.014809191,0.058744907
0.30553412,0.2462892,0.0121843815,0.04889971
0.29936704,0.34162015,0.009080619,0.041492492
0.29281473,0.44290572,0.0054018497,0.037237763
0.28583992,0.5507219,0.0010279417,0.037051797
0.27840042,0.6657212,-0.00419268,0.042119265
0.2704482,0.7886462,-0.010453045,0.053985
0.26192835,0.92034566,-0.01800257,0.07468599
0.25277784,1.0617938,-0.027167588,0.10694003
0.36593983,0.15553522,0.010862708,0.058159143
0.36171496,0.24570945,0.00899151,0.048393756
0.3572333,0.34136522,0.0067733526,0.041110605
0.35247058,0.44301802,0.0041380525,0.0370391
0.34739968,0.5512501,0.000997752,0.037115455
0.34198958,0.6667216,-0.002758503,0.04255134
0.3362051,0.790184,-0.0072725415,0.054929256
0.33000594,0.9224964,-0.012727588,0.07633871
0.3233459,1.0646458,-0.01936388,0.10957217
0.42090157,0.15466183,0.0070749223,0.05756414
0.41828883,0.24512565,0.005986035,0.047879905
0.4155167,0.34110844,0.0046878457,0.040723205
0.41257012,0.44313115,0.00313738,0.03683856
0.4094321,0.5517825,0.0012808442,0.03718257
0.4060834,0.66773003,-0.0009498894,0.042994797
0.40250194,0.79173434,-0.0036419928,0.05589652
0.39866272,0.92466533,-0.006908387,0.0780313
0.39453676,1.067523,-0.010897577,0.11226916
0.47623804,0.15378246,0.0034503639,0.05695963
0.4752599,0.24453777,0.003173411,0.047358066
0.47422186,0.3408498,0.0028305948,0.04033026
0.47311828,0.4432451,0.0024076998,0.036636144
0.4719427,0.5523189,0.0018868148,0.03725332
0.47068787,0.6687465,0.001245141,0.043450058
0.46934548,0.7932975,0.00045344234,0.056887507
0.46790606,0.92685294,-0.0005264878,0.07976508
0.46635866,1.0704257,-0.0017450154,0.11503291
0.5319531,0.15289706,-0.000006198883,0.056345582
0.53263235,0.24394572,0.0005592108,0.04682812
0.5333534,0.34058928,0.001208365,0.039931595
0.5341201,0.44335997,0.001957178,0.03643176
0.53493696,0.5528595,0.0028256774,0.037327766
0.53580916,0.6697711,0.0038388968,0.043917418
0.5367425,0.7948736,0.0050290227,0.057902694
0.53774357,0.92905927,0.0064373612,0.08154106
0.53882,1.0733545,0.008118331,0.117865324
0.5880507,0.15200564,-0.0032900572,0.05572152
0.59041053,0.24334946,-0.0018507242,0.04628983
0.5929159,0.34032688,-0.00017184019,0.039527148
0.59558064,0.44347566,0.0017943382,0.036225438
0.5984206,0.5534043,0.0041077137,0.037406027
0.60145354,0.67080384,0.006844163,0.044396996
0.60469985,0.7964628,0.010100663,0.058942795
0.60818285,0.93128455,0.014003217,0.08336043
0.6119295,1.0763092,0.018717945,0.12076831
0.64453477,0.15110803,-0.006396234,0.055087537
0.6485987,0.24274898,-0.004050553,0.04574305
0.6529141,0.34006256,-0.0013029575,0.03911671
0.6575052,0.44359222,0.001927793,0.03601709
0.6623993,0.5539533,0.0057436824,0.037488163
0.6676273,0.671845,0.010273933,0.04488933
0.67322457,0.7980653,0.015684664,0.060008526
0.6792319,0.93352914,0.022191763,0.08522439
0.68569577,1.0792905,0.030080318,0.12374413
0.7014093,0.15020424,-0.009319603,0.05444321
0.7072011,0.24214429,-0.006034136,0.045187652
0.71335286,0.33979627,-0.0021775365,0.038700253
0.719899,0.44370967,0.0023666024,0.035806715
0.7268788,0.55450666,0.007744491,0.03757435
0.7343368,0.6728946,0.014141977,0.04539472
0.7423238,0.79968125,0.021798193,0.061100543
0.75089836,0.9357932,0.031024396,0.0871343
0.76012766,1.0822988,0.04223299,0.12679505
0.7586783,0.14929417,-0.01205498,0.053788513
0.7662225,0.24153522,-0.0077952147,0.044623435
0.77423704,0.33952802,-0.0027880669,0.038277626
0.7827674,0.44382802,0.003119886,0.035594314
0.7918651,0.5550643,0.010121405,0.03766471
0.80158865,0.67395264,0.01846224,0.045913458
0.8120049,0.8013108,0.028458595,0.06221962
0.8231906,0.9380771,0.04052359,0.08909142
0.8352344,1.0853343,0.05520445,0.1299231
0.81634605,0.14837775,-0.014596939,0.053123116
0.825667,0.2409218,-0.009327292,0.044050217
0.8355715,0.33925784,-0.0031266212,0.03784868
0.8461158,0.4439473,0.0041971803,0.035379797
0.8573642,0.5556264,0.012886226,0.037759304
0.8693895,0.6750194,0.023249269,0.046445966
0.8822751,0.8029541,0.035684347,0.06336653
0.89611673,0.94038093,0.050712228,0.091097236
0.9110249,1.0883974,0.06902468,0.13313067
0.87441653,0.14745495,-0.016940057,0.052446872
0.88553953,0.24030393,-0.010623813,0.04346782
0.8973613,0.33898562,-0.0031852722,0.03741333
0.9099499,0.44406742,0.0056083202,0.035163164
0.9233821,0.55619293,0.016051173,0.037858307
0.937746,0.6760949,0.02851814,0.04699254
0.9531419,0.8046113,0.043494284,0.064541936
0.9696851,0.94270515,0.061614513,0.09315288
0.98750895,1.0914886,0.08372456,0.13642049
0.9328941,0.14652568,-0.019078612,0.05175957
0.94584465,0.2396816,-0.011677802,0.042876065
0.9596116,0.33871138,-0.0029557347,0.03697145
0.974275,0.44418854,0.007363558,0.034944326
0.98992515,0.556764,0.019628525,0.03796184
1.0066651,0.6771792,0.034284472,0.04755366
1.024613,0.8062827,0.05190766,0.065746725
1.0439043,0.94504994,0.0732553,0.0952602
1.0646958,1.0946081,0.09933615,0.13979483
